Blue_UniqueChamps,Red_UniqueChamps,Blue_AvgChampId,Red_AvgChampId,UniqueChamps_Diff,AvgChampId_Diff,Region_Code,BlueWin
5,5,141.6,220.4,0,-78.80000000000001,0,0
5,5,442.8,287.8,0,155.0,0,0
5,5,94.8,49.2,0,45.599999999999994,0,1
5,5,177.2,145.0,0,32.19999999999999,0,1
5,5,411.6,492.0,0,-80.39999999999998,0,0
5,5,274.8,330.8,0,-56.0,0,1
4,5,144.6,41.8,-1,102.8,0,1
5,5,225.4,100.6,0,124.80000000000001,0,1
4,5,92.6,319.6,-1,-227.00000000000003,0,1
5,5,125.2,197.6,0,-72.39999999999999,0,1
5,5,58.6,77.4,0,-18.800000000000004,0,1
5,5,160.4,143.8,0,16.599999999999994,0,1
5,5,68.4,70.2,0,-1.7999999999999972,0,1
5,5,379.4,153.4,0,225.99999999999997,0,1
5,5,187.4,115.0,0,72.4,0,1
5,5,356.6,264.4,0,92.20000000000005,0,1
5,5,75.8,70.0,0,5.799999999999997,0,1
5,5,82.2,176.8,0,-94.60000000000001,0,1
5,5,225.4,160.4,0,65.0,0,1
5,5,216.6,386.4,0,-169.79999999999998,0,1
5,5,246.4,377.2,0,-130.79999999999998,0,1
5,5,241.0,103.8,0,137.2,0,1
5,5,417.4,110.4,0,307.0,0,1
5,5,227.4,231.2,0,-3.799999999999983,0,1
5,5,98.0,269.8,0,-171.8,0,1
5,5,112.8,125.2,0,-12.400000000000006,0,1
5,5,57.2,189.2,0,-132.0,0,1
5,5,118.8,95.8,0,23.0,0,1
5,5,323.2,91.8,0,231.39999999999998,0,1
5,5,385.4,272.6,0,112.79999999999995,0,0
5,5,92.4,76.0,0,16.400000000000006,0,1
5,5,82.6,56.4,0,26.199999999999996,0,0
5,5,98.6,186.8,0,-88.20000000000002,0,0
5,5,68.6,245.8,0,-177.20000000000002,0,0
5,5,215.6,234.8,0,-19.200000000000017,0,1
5,5,502.8,97.0,0,405.8,0,0
5,5,278.0,313.4,0,-35.39999999999998,0,1
5,5,154.2,117.6,0,36.599999999999994,0,1
5,5,132.0,266.2,0,-134.2,0,1
5,5,301.6,68.0,0,233.60000000000002,0,1
5,5,67.6,95.6,0,-28.0,0,0
5,5,215.4,92.0,0,123.4,0,1
5,5,67.4,89.0,0,-21.599999999999994,0,1
5,5,361.6,170.0,0,191.60000000000002,0,1
5,5,438.4,144.2,0,294.2,0,0
5,5,212.0,157.0,0,55.0,0,1
5,5,102.6,142.6,0,-40.0,0,1
5,5,158.6,198.8,0,-40.20000000000002,0,1
5,5,242.6,124.0,0,118.6,0,1
5,5,209.8,313.4,0,-103.59999999999997,0,0
5,4,211.8,106.4,1,105.4,0,1
5,5,93.4,220.4,0,-127.0,0,0
5,5,286.0,210.0,0,76.0,0,0
5,5,186.0,101.6,0,84.4,0,1
5,5,90.8,404.4,0,-313.59999999999997,0,1
5,5,426.2,69.4,0,356.79999999999995,0,1
5,5,342.8,416.8,0,-74.0,0,1
5,5,268.2,150.6,0,117.6,0,1
5,4,229.0,322.0,1,-93.0,0,1
5,5,171.6,176.8,0,-5.200000000000017,0,1
5,5,52.2,497.0,0,-444.8,0,1
5,5,101.8,197.8,0,-96.00000000000001,0,0
5,5,112.4,170.6,0,-58.19999999999999,0,0
5,5,344.0,210.4,0,133.6,0,0
5,5,226.0,247.8,0,-21.80000000000001,0,1
5,5,373.0,464.4,0,-91.39999999999998,0,0
5,5,228.0,335.6,0,-107.60000000000002,0,1
5,5,214.8,154.2,0,60.60000000000002,0,1
5,5,189.4,262.4,0,-72.99999999999997,0,1
5,5,425.8,217.2,0,208.60000000000002,0,0
5,5,344.0,61.6,0,282.4,0,0
5,5,151.4,258.0,0,-106.6,0,1
5,5,181.4,200.4,0,-19.0,0,1
5,5,84.0,183.0,0,-99.0,0,1
5,5,54.8,209.4,0,-154.60000000000002,0,0
5,5,231.0,195.6,0,35.400000000000006,0,1
5,5,139.2,327.8,0,-188.60000000000002,0,1
5,5,129.4,152.8,0,-23.400000000000006,0,1
5,5,149.8,157.6,0,-7.799999999999983,0,0
5,5,242.0,142.0,0,100.0,0,0
5,5,175.4,103.0,0,72.4,0,1
5,5,284.8,216.0,0,68.80000000000001,0,0
5,5,101.4,43.0,0,58.400000000000006,0,1
5,5,408.6,443.8,0,-35.19999999999999,0,0
5,5,176.2,163.2,0,13.0,0,1
5,5,319.6,83.2,0,236.40000000000003,0,1
5,5,297.0,137.6,0,159.4,0,1
5,4,32.6,130.4,1,-97.80000000000001,0,1
5,5,514.2,294.2,0,220.00000000000006,0,1
5,5,217.0,172.0,0,45.0,0,1
5,5,297.8,131.0,0,166.8,0,1
5,5,59.8,219.4,0,-159.60000000000002,0,1
5,5,130.2,271.8,0,-141.60000000000002,0,1
5,5,85.8,201.0,0,-115.2,0,1
5,5,66.2,378.4,0,-312.2,0,1
5,5,262.0,202.8,0,59.19999999999999,0,1
5,4,239.0,95.0,1,144.0,0,1
5,5,250.6,341.8,0,-91.20000000000002,0,1
5,5,124.2,298.0,0,-173.8,0,1
5,5,245.2,24.2,0,221.0,0,1
5,5,249.4,169.0,0,80.4,0,1
5,5,45.4,324.6,0,-279.20000000000005,0,1
5,5,236.8,105.8,0,131.0,0,1
5,5,227.2,215.0,0,12.199999999999989,0,1
4,5,67.8,343.6,-1,-275.8,0,1
5,4,202.2,668.0,1,-465.8,0,1
5,5,252.0,119.4,0,132.6,0,1
5,5,175.0,63.6,0,111.4,0,1
5,5,91.0,47.0,0,44.0,0,0
5,5,78.4,72.6,0,5.800000000000011,0,1
5,5,215.2,112.0,0,103.19999999999999,0,1
5,5,231.2,149.8,0,81.39999999999998,0,1
